Date,Branch,Delivery Channel Sales
2026-07-19,B004,248.43
2026-07-19,B005,131.1
2026-07-19,B007,149.13
2026-07-20,B001,211.36
2026-07-20,B002,126.04
2026-07-20,B004,252.5
2026-07-20,B005,110.76
2026-07-20,B007,144.1
2026-07-21,B001,242.19
2026-07-21,B002,138.78
2026-07-21,B004,215.19
2026-07-21,B005,119.82
2026-07-21,B007,124.52
2026-07-22,B001,252.13
2026-07-22,B002,133.59
2026-07-22,B004,231.2
2026-07-22,B005,112.92
2026-07-22,B007,147.66
2026-07-23,B001,276.65
2026-07-23,B002,139.87
2026-07-23,B004,282.13
2026-07-23,B005,124.06
2026-07-23,B007,139.05
2026-07-24,B001,188.95
2026-07-24,B002,102.07
2026-07-24,B004,171.91
2026-07-24,B005,109.79
2026-07-24,B007,117.16
2026-07-25,B001,296.49
2026-07-25,B002,131.38
2026-07-25,B004,218.01
2026-07-25,B005,94.89
2026-07-25,B007,143.24
2026-07-26,B001,228.39
2026-07-26,B002,161.15
2026-07-26,B004,242.81
2026-07-26,B005,87.69
2026-07-26,B007,107.29
2026-07-27,B001,205.08
2026-07-27,B002,133.54
2026-07-27,B004,263.41
2026-07-27,B005,95.16
2026-07-27,B007,128.66
2026-07-28,B001,203.42
2026-07-28,B002,127.23
2026-07-28,B004,226.94
2026-07-28,B005,116.83
2026-07-28,B007,159.49
2026-07-29,B001,271.77
2026-07-29,B002,135.52
2026-07-29,B004,269.49
2026-07-29,B005,106.33
2026-07-29,B007,138.86
2026-07-30,B001,235.08
2026-07-30,B002,134.36
2026-07-30,B004,211.99
2026-07-30,B005,92.04
2026-07-30,B007,150.01
2026-07-31,B001,231.82
2026-07-31,B002,131.4
2026-07-31,B004,257.83
2026-07-31,B005,94.53
2026-07-31,B007,93.11
2026-08-01,B001,193.65
2026-08-01,B002,138.77
2026-08-01,B004,208.88
2026-08-01,B005,105.55
2026-08-01,B007,138.46
2026-08-02,B001,227.8
2026-08-02,B002,138.71
2026-08-02,B004,227.89
2026-08-02,B005,105.64
2026-08-02,B007,108.11
2026-08-03,B001,203.24
2026-08-03,B002,146.23
2026-08-03,B004,212.67
2026-08-03,B005,93.67
2026-08-03,B007,142.59
2026-08-04,B001,273.27
2026-08-04,B002,139.59
2026-08-04,B004,206.53
2026-08-04,B005,116.13
2026-08-04,B007,125.61
2026-08-05,B001,267.54
2026-08-05,B002,133.34
2026-08-05,B004,194.95
2026-08-05,B005,92.24
2026-08-05,B007,149.4
2026-08-06,B001,238.91
2026-08-06,B002,128.37
2026-08-06,B004,185.29
2026-08-06,B005,118.81
2026-08-06,B007,132.64
2026-08-07,B001,239.24
2026-08-07,B002,106.02
2026-08-07,B004,244.0
2026-08-07,B005,115.43
2026-08-07,B007,106.89
2026-08-08,B001,227.65
2026-08-08,B002,123.7
2026-08-08,B004,291.57
2026-08-08,B005,96.78
2026-08-08,B007,114.38
2026-08-09,B001,190.65
2026-08-09,B002,132.47
2026-08-09,B004,262.65
2026-08-09,B005,99.63
2026-08-09,B007,147.68
2026-08-10,B001,231.04
2026-08-10,B002,125.58
2026-08-10,B004,224.95
2026-08-10,B005,99.08
2026-08-10,B007,118.67
2026-08-11,B001,212.94
2026-08-11,B002,111.17
2026-08-11,B004,244.62
2026-08-11,B005,93.41
2026-08-11,B007,118.58
2026-08-12,B001,284.69
2026-08-12,B002,116.86
2026-08-12,B004,203.03
2026-08-12,B005,100.69
2026-08-12,B007,131.98
2026-08-13,B001,254.2
2026-08-13,B002,150.14
2026-08-13,B004,294.85
2026-08-13,B005,100.45
2026-08-13,B007,129.83
2026-08-14,B001,193.81
2026-08-14,B002,119.09
2026-08-14,B004,228.68
2026-08-14,B005,106.51
2026-08-14,B007,120.46
2026-08-15,B001,270.27
2026-08-15,B002,132.63
2026-08-15,B004,230.16
2026-08-15,B005,125.88
2026-08-15,B007,145.64
